City_ID,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
1,1,Tarakan,3.3,117.6333,77.0,88,40,2.3,ID,2021-02-20 21:47:51
4,4,Saint-Philippe,-21.3585,55.7679,78.8,78,0,4.61,RE,2021-02-20 21:44:08
8,8,Rikitea,-23.1203,-134.9692,79.2,70,86,9.06,PF,2021-02-20 21:44:07
20,20,Boffa,10.1667,-14.0333,76.8,74,21,3.51,GN,2021-02-20 21:47:55
22,22,Kapaa,22.0752,-159.319,75.2,83,90,18.41,US,2021-02-20 21:42:46
28,28,Banda Aceh,5.5577,95.3222,77.49,78,21,11.72,ID,2021-02-20 21:46:06
32,32,Vertientes,21.2594,-78.1464,86.0,51,40,13.8,CU,2021-02-20 21:47:15
34,34,Butaritari,3.0707,172.7902,80.85,81,59,16.22,KI,2021-02-20 21:44:15
38,38,Cockburn Town,21.4612,-71.1419,80.6,65,40,17.27,TC,2021-02-20 21:45:49
40,40,Nanakuli,21.3906,-158.1547,82.4,54,20,6.91,US,2021-02-20 21:47:58
41,41,Hilo,19.7297,-155.09,75.2,73,90,3.44,US,2021-02-20 21:43:19
42,42,Alyangula,-13.8483,136.4192,78.8,100,40,4.61,AU,2021-02-20 21:47:58
46,46,Vaini,-21.2,-175.2,80.6,61,75,11.5,TO,2021-02-20 21:44:09
52,52,Poso,-1.3959,120.7524,76.33,76,73,4.23,ID,2021-02-20 21:48:00
54,54,Makakilo City,21.3469,-158.0858,82.4,54,20,6.91,US,2021-02-20 21:48:01
64,64,Kieta,-6.2167,155.6333,83.17,73,77,2.82,PG,2021-02-20 21:48:02
69,69,Atuona,-9.8,-139.0333,79.36,79,100,12.24,PF,2021-02-20 21:44:17
71,71,Mahebourg,-20.4081,57.7,78.8,83,40,8.05,MU,2021-02-20 21:44:26
73,73,Bambous Virieux,-20.3428,57.7575,80.01,83,40,8.05,MU,2021-02-20 21:44:50
76,76,Sinnamary,5.3833,-52.95,77.76,82,94,12.97,GF,2021-02-20 21:46:10
79,79,Santa Cruz Del Sur,20.7147,-77.9956,81.64,62,17,10.4,CU,2021-02-20 21:48:05
80,80,Acapulco,16.8634,-99.8901,82.4,61,1,13.8,MX,2021-02-20 21:40:12
81,81,Kavieng,-2.5744,150.7967,83.14,80,59,13.42,PG,2021-02-20 21:44:28
83,83,Arraial Do Cabo,-22.9661,-42.0278,80.6,83,40,9.22,BR,2021-02-20 21:44:12
85,85,Mogadishu,2.0371,45.3438,77.07,79,82,19.19,SO,2021-02-20 21:48:06
