City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Lanzhou,36.0564,103.7922,35.01,32,37,0.22,CN,2021-02-20 21:47:51
1,Tarakan,3.3,117.6333,77.0,88,40,2.3,ID,2021-02-20 21:47:51
2,Hobart,-42.8794,147.3294,64.0,77,75,5.75,AU,2021-02-20 21:44:15
3,Bar Harbor,44.3876,-68.2039,30.2,43,90,5.75,US,2021-02-20 21:47:52
4,Saint-Philippe,-21.3585,55.7679,78.8,78,0,4.61,RE,2021-02-20 21:44:08
5,Lubu,23.1742,112.2809,68.0,99,3,1.05,CN,2021-02-20 21:47:52
6,Bredasdorp,-34.5322,20.0403,64.4,63,2,10.36,ZA,2021-02-20 21:44:19
7,Chuy,-33.6971,-53.4616,66.88,68,49,7.47,UY,2021-02-20 21:44:06
8,Rikitea,-23.1203,-134.9692,79.2,70,86,9.06,PF,2021-02-20 21:44:07
9,Nanortalik,60.1432,-45.2371,17.15,90,11,12.24,GL,2021-02-20 21:44:11
10,Dikson,73.5069,80.5464,-8.57,90,100,7.49,RU,2021-02-20 21:44:22
11,Punta Arenas,-53.15,-70.9167,57.2,62,75,20.71,CL,2021-02-20 21:41:34
12,Jamestown,42.097,-79.2353,21.0,73,90,17.27,US,2021-02-20 21:44:05
13,Hovd,48.0056,91.6419,23.11,74,0,6.91,MN,2021-02-20 21:46:01
14,Iqaluit,63.7506,-68.5145,-18.0,63,1,6.91,CA,2021-02-20 21:45:52
15,Ulaangom,49.9811,92.0667,13.82,96,99,6.93,MN,2021-02-20 21:42:05
16,Albany,42.6001,-73.9662,28.99,42,82,3.0,US,2021-02-20 21:44:09
17,Leningradskiy,69.3833,178.4167,-12.35,88,98,9.28,RU,2021-02-20 21:45:04
18,Misratah,32.3754,15.0925,59.5,71,39,12.59,LY,2021-02-20 21:43:41
19,Hermanus,-34.4187,19.2345,64.0,82,4,11.79,ZA,2021-02-20 21:44:04
20,Boffa,10.1667,-14.0333,76.8,74,21,3.51,GN,2021-02-20 21:47:55
21,Lavrentiya,65.5833,-171.0,-14.73,84,81,6.15,RU,2021-02-20 21:44:20
22,Kapaa,22.0752,-159.319,75.2,83,90,18.41,US,2021-02-20 21:42:46
23,New Norfolk,-42.7826,147.0587,64.0,82,72,1.77,AU,2021-02-20 21:44:05
