City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Vaini,-21.2,-175.2,71.6,94,90,136.9,TO,2020-10-04 15:27:02
1,Port Hardy,50.7,-127.42,55.4,100,90,2.24,CA,2020-10-04 15:27:02
2,Ushuaia,-54.8,-68.3,53.6,80,40,17.22,AR,2020-10-04 15:27:03
3,Hami,42.8,93.45,57.45,29,0,7.94,CN,2020-10-04 15:27:03
4,Coihaique,-45.58,-72.07,53.6,30,0,10.29,CL,2020-10-04 15:27:03
5,Mar Del Plata,-38.0,-57.56,48.2,70,75,13.87,AR,2020-10-04 15:27:03
6,Ilulissat,69.22,-51.1,32.0,88,37,4.7,GL,2020-10-04 15:27:03
7,Klaksvik,62.23,-6.59,57.2,82,100,4.7,FO,2020-10-04 15:27:03
8,Chokurdakh,70.63,147.92,29.28,95,96,14.67,RU,2020-10-04 15:27:03
9,Caravelas,-17.71,-39.25,81.32,61,76,6.69,BR,2020-10-04 15:27:03
10,Atuona,-9.8,-139.03,77.05,75,0,19.73,PF,2020-10-04 15:27:03
11,Villa Carlos Paz,-31.42,-64.5,53.01,53,79,3.36,AR,2020-10-04 15:27:04
12,Eyl,7.98,49.82,81.91,71,50,15.23,SO,2020-10-04 15:27:04
13,Kudahuvadhoo,2.67,72.89,82.47,76,91,10.8,MV,2020-10-04 15:27:04
14,Avera,33.19,-82.53,66.2,59,1,10.29,US,2020-10-04 15:27:04
15,Butaritari,3.07,172.79,77.52,81,100,2.82,KI,2020-10-04 15:27:04
16,Bonthe,7.53,-12.51,81.52,79,97,14.05,SL,2020-10-04 15:27:05
17,Puerto Ayora,-0.74,-90.35,73.4,64,20,4.7,EC,2020-10-04 15:27:05
18,Hobart,-42.88,147.33,46.4,81,90,9.17,AU,2020-10-04 15:22:58
19,Port Alfred,-33.59,26.89,68.79,77,4,24.74,ZA,2020-10-04 15:27:05
20,Kodiak,57.79,-152.41,48.2,87,90,16.11,US,2020-10-04 15:23:57
21,Avarua,-21.21,-159.78,71.6,88,100,6.93,CK,2020-10-04 15:22:47
22,Matagami,49.75,-77.63,39.2,64,75,3.36,CA,2020-10-04 15:27:05
23,Labytnangi,66.66,66.42,36.66,88,100,9.37,RU,2020-10-04 15:27:05
24,Mataura,-46.19,168.86,44.01,97,70,4.41,NZ,2020-10-04 15:27:06
25,Longyearbyen,78.22,15.64,35.6,100,75,1.81,SJ,2020-10-04 15:27:06
26,Port Elizabeth,-33.92,25.57,66.2,82,20,14.99,ZA,2020-10-04 15:27:06
27,Tuktoyaktuk,69.45,-133.04,33.8,100,90,16.11,CA,2020-10-04 15:22:31
28,Albany,42.6,-73.97,53.01,87,75,3.96,US,2020-10-04 15:25:14
